2148,1
1124,1
170,1
3158,1
2229,1
1960,1
411,1
457,1
2881,1
602,0
2339,1
2490,1
2315,1
2985,1
2906,1
2421,1
2260,1
2877,1
2550,1
621,1
2209,1
2211,1
978,0
2937,1
1011,1
2089,1
1006,1
194,1
1018,1
178,1
102,0
2978,1
1831,1
594,0
840,1
1735,1
1502,0
581,1
214,1
471,1
2723,1
17,0
937,0
2673,1
2375,1
414,0
211,1
1902,1
254,0
289,1
2334,1
794,1
1925,1
2185,1
3014,1
1462,1
3153,1
1465,1
1117,1
2958,0
291,0
2815,1
432,0
2422,1
257,1
2614,1
2279,1
1034,1
2903,1
1103,0
2549,1
2918,1
2851,1
682,1
322,1
2167,1
486,1
812,1
1801,1
3103,1
2013,1
332,1
829,1
528,0
44,0
139,1
1847,1
932,0
3052,1
433,1
532,1
1825,1
2321,1
309,0
2580,1
1010,1
601,0
1307,1
1765,1
3023,1
3061,1
2924,1
2221,1
256,1
1437,1
1731,1
1235,1
134,1
2946,1
1745,1
1951,1
2665,1
299,0
3020,1
2543,1
1610,1
1497,1
3034,1
1195,1
1506,0
1073,1
1980,1
218,1
203,1
798,1
1023,1
1317,0
2084,1
52,1
1105,1
51,1
734,1
63,1
251,0
1509,0
1334,1
1732,1
2285,1
1543,0
2157,1
1432,1
2298,1
554,1
70,1
670,0
2025,1
1973,1
2628,1
2392,1
1108,1
2709,1
2925,1
1456,1
1752,1
423,0
1295,1
1771,1
2058,1
2890,1
1037,1
900,1
1298,0
2236,1
1206,1
700,1
354,1
1220,0
1859,1
3132,1
2588,1
76,1
1407,1
1868,1
1188,1
144,1
1022,1
45,1
2102,1
2514,1
2018,1
2195,1
1100,1
192,1
152,0
2004,1
1776,1
1904,1
2661,1
0,0
693,1
408,1
611,1
298,1
2739,1
463,1
321,1
1814,1
1094,1
2586,1
32,0
1642,1
2564,1
14,1
93,0
2600,1
2271,1
2045,1
368,1
149,0
314,1
1127,1
612,1
184,1
2053,1
772,1
642,1
240,1
3122,1
2310,1
1987,1
2592,1
442,0
2706,1
2447,1
2051,1
605,1
1017,1
270,1
2223,1
610,1
1556,1
507,1
776,1
2782,1
2899,1
927,1
331,1
1910,1
239,1
2825,1
174,0
2894,1
2262,1
120,0
1251,1
1983,1
1192,1
2499,1
1533,1
229,0
930,1
2519,1
2768,1
654,1
188,1
1641,1
1948,1
1627,1
387,1
2953,1
1558,0
2096,1
246,0
346,1
1697,1
3059,1
879,1
544,0
2741,1
2501,1
2860,1
2787,1
1967,1
1270,1
2106,1
578,1
2263,1
2258,1
1883,1
881,1
1272,0
1537,1
2419,1
175,1
2909,1
887,1
1426,1
1422,1
1628,1
1754,1
1370,1
1313,1
2854,1
1356,1
1398,1
2376,1
3001,1
2358,1
2469,1
1954,1
1444,1
2885,1
2510,1
1123,0
727,1
478,1
2240,1
266,1
1710,1
196,1
2174,1
88,0
3085,1
1632,1
2893,1
1106,1
1488,1
